SOURCE_ID,ra,dec,parallax,x,y,z,d_rel,RA_rel,Dec_rel
4251889396909198720,281.6481322414229,-7.550887192763706,1.9703738931777246,11.755239305582066,-6.686143387794743,8.594095538650862,16.023378004063677,-0.5171471165273399,0.5661032715969812
4251866753758432000,281.8511272888915,-7.820788473421366,1.957707543690126,14.102819215979167,-9.193987924794214,5.778007367179214,17.79899696429634,-0.5777276553599217,0.33061570317042244
4251889568637281664,281.5628500759925,-7.577426946823049,2.0686785098750073,6.223516333867721,16.61523757328598,11.541330747599027,21.16602444012874,1.2124055042430157,0.5767186501958358
4251845450797979392,281.1225992142488,-7.993311794899868,1.9074232752803852,10.328853910308823,-23.352409300147542,2.3820141781343267,25.64554999930694,-1.1543611606712574,0.09301623560234952
4251908256003886848,280.7294976476426,-7.919591917767004,1.9489133289192475,4.790746075718346,-13.257979691608398,4.587875014042936,14.824772194188716,-1.224047807693365,0.3146393634032621
4251867299185234176,281.89020059060226,-7.783737172784217,1.9316786488602053,15.854852821781748,-15.8400690959445,5.173083526439058,23.000976938733967,-0.7849317251205696,0.2268477150471567
4251867402278414208,281.9124628903584,-7.775121509027745,1.97159507010472,13.908488027455903,-5.6483646448357945,6.668125917645241,16.426014903940864,-0.38576179055778315,0.4180171092499876
4251845966099489280,281.0293458540721,-7.990742951451078,1.9494968937507906,7.3566189650504725,-12.52014114486468,3.9781727234508253,15.056547914508224,-1.0395571927300702,0.2673903839900297
4251846167948647040,281.0665593364153,-7.987278279645565,2.0626527888869646,2.3321537128876315,14.887951525747098,7.9190733427284385,17.02356496686411,1.4154120192510298,0.48384135082291063
4251867990709425920,281.8334049662944,-7.758823581604545,2.060697019412016,8.77779092146936,15.4581488065852,9.771818780970193,20.2852759477332,1.0543578785201235,0.5026161530531777
4251868231307686656,281.8932128695677,-7.753523222875401,2.0844402012929963,8.141475613463086,20.91487703022858,10.562036646303213,24.80468351888508,1.1995764668460478,0.4398548765618061
4251823288764414720,281.36596257298504,-8.245394914452412,1.941647630645589,10.625168612140385,-13.636935415825121,1.4238047110837186,17.34610721248727,-0.90890099036422,0.0821745402161058
4251823524910672000,281.38150081116385,-8.212429144012274,1.964433304603305,9.602256819836157,-7.854937944821927,2.5704062736518267,12.669268904033963,-0.6856388005389176,0.2043034344272741
4251909359869566848,280.68403616469305,-7.878982843213765,2.0983204163710787,-2.305561444211577,22.18053633563011,9.956330329760931,24.421718189852243,1.674369624541701,0.4199156692458557
4251908535287220608,280.71239223413454,-7.900491821798777,1.9128365466183352,6.427792728624411,-22.727799684332012,3.427112284449123,23.866597923950142,-1.2951779627712858,0.14409261114963168
4251908805759679488,280.77954682236776,-7.881660044568991,2.0017625005868935,2.725905581212345,-0.03907786421916626,6.78196875723701,7.309390435685828,-0.014334754589829182,1.1885880439424124
4251909050682769152,280.7446734310613,-7.868469006962094,2.003609529111989,2.347906020113953,0.33738464782817346,6.95894111084516,7.352098507507115,0.14271901466779546,1.2422874063217064
4251909462948772096,280.7016259115334,-7.860283603912718,2.042960316575741,0.21635400808442284,9.616204775948347,8.344291693732274,12.733632915231828,1.5483012242002345,0.7145736837613077
4251910150140843520,280.70418287641314,-7.830506324588375,1.9622155887072565,3.9503659413479966,-10.021086127563706,5.852063073504027,12.258637789855829,-1.1952952820658966,0.49767381015201023
4251910287579866368,280.7249297133754,-7.806431167823192,2.096317569701758,-1.8752220284266201,21.71898946619831,10.492307043057636,24.19337653521158,1.656922942702861,0.448578494979426
4251911623282426880,280.7631451548437,-7.798418252589217,1.9058304934210317,7.257782502058419,-24.63784004988122,4.088967992199599,26.008041610470197,-1.2843206077427336,0.15787437461103676
4251911760697650944,280.7908576224438,-7.76616152801318,2.0712130789767214,-0.25988467809442284,16.148325915843145,10.043179743822591,19.01844970803162,1.5868885363455691,0.5563328557023373
4251912280498300032,280.82475519889994,-7.738842125725073,2.0900093189801434,-0.7840919098761105,20.396871408017148,10.855981281620998,23.11924507732089,1.6092191809904537,0.48879767316757033
4251912761483968256,280.6560354646786,-7.829136532823266,1.9100247432077857,6.084744389399489,-23.65906504135296,3.9672199216564934,24.749026381296023,-1.3190673121204894,0.16099256966803707
4251912864614336384,280.64973270836526,-7.814145925485742,1.930236681588625,5.028381184346486,-18.350147831034917,4.848292611529189,19.6346246208817,-1.3033377076002854,0.24950638391692634
4251914067205266944,280.55438221262744,-7.779936687715121,1.9933266912537064,1.220670752419025,-2.577081086579483,7.374430471387441,7.906554799022423,-1.1284385420794036,1.2018236009988557
4251914578196252800,280.6223644919752,-7.752306444353443,1.9951489544200383,1.7227283907143374,-2.0546076910009106,7.675945369427708,8.130765227611235,-0.8730338003276038,1.2347380835352804
4251914788707713408,280.63606717644575,-7.717109522326711,1.9368847216387295,4.6047230094762455,-16.75746026605441,5.956433388927323,18.371038274390497,-1.302628662908127,0.3301971617271745
4251914887433855616,280.71409216827027,-7.762663982946332,2.096651880062837,-1.9678911011161375,21.727917136035273,10.863614665036437,24.371973700270196,1.6611196021995558,0.4620030990184178
4251915097997010560,280.7025708321215,-7.758681199068283,2.0747737685926158,-1.1349780676540888,16.809229409003365,10.217496158505057,19.703694990727627,1.6382151189332383,0.5451628781401701
4251915196671627520,280.7030842675596,-7.731938685238103,1.9373848601262693,5.1649358648535895,-16.499244903444264,5.841951701744449,18.249110788128753,-1.2674189011260546,0.3258588313945707
4251915299749458560,280.7137147835758,-7.721527814262525,2.071758002521237,-0.9066385302898397,16.10201265701221,10.432922657517977,19.207880679787124,1.6270428498694527,0.5741942653407004
4251915613339955072,280.78954395436534,-7.696925595621531,2.080336722562899,-0.648782373725183,18.130431937930098,10.904894076772337,21.167196216079176,1.6065652298836965,0.5412164344032686
4251915613393061376,280.7914912548058,-7.691486755083096,1.9799492375221488,3.8905191158233663,-5.598165259091047,7.688185221951116,10.275397085548981,-0.9634587371683657,0.8453644441266165
4251916369257250688,280.68461686792375,-7.691771752709789,1.9604712441618468,3.895159682850661,-10.658409848535541,7.0140685404109036,13.34058195671563,-1.2204208066863043,0.5536192611812432
4251916506693915008,280.7345925552233,-7.687054175969032,1.976731881649898,3.5549249854319243,-6.496529518029035,7.616948126305076,10.623572195334917,-1.070102522409151,0.7994683495469841
